store_id,store_name,region,sku,upc,department,subcategory,cost,retail,on_hand_start,received_units,sold_units,adjustments,on_hand_end,shrink_units,shrink_cost,shrink_type,shrink_reason_detail,date,week_number,shrink_rate,zero_sale_shrink,shrink_greater_than_sales,negative_sales_or_shrink
S001,Loblaws - Midtown,Ontario,SKU0125,403748302739,Health & Beauty,Toiletries,28.92,52.35,62.00,19.00,20.00,0.00,61.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0085,422414752007,Meat,Prepared Meat,40.3,84.82,23.00,17.00,15.00,0.00,24.00,1.00,40.3,Spoilage,Expired,9/1/2025,1,6.67%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0310,408711797819,Grocery,Canned,2.75,5.59,68.00,23.00,20.00,0.00,71.00,0.00,0,None,None,10/27/2025,9,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0297,491566932233,Seafood,Smoked Seafood,17.7,22.73,32.00,31.00,26.00,1.00,35.00,3.00,53.1,Process Error,Scan error,9/22/2025,4,11.54%,0,0,0
S002,Fortinos - West,Ontario,SKU0199,435108120110,Grocery,Canned,3.09,6.69,109.00,18.00,69.00,0.00,57.00,1.00,3.09,Theft,Shoplifting,11/3/2025,10,1.45%,0,0,0
S002,Fortinos - West,Ontario,SKU0028,467258117644,Seafood,Fresh Fish,47.37,67.01,73.00,15.00,39.00,0.00,45.00,4.00,189.48,Spoilage,Temperature breach,9/8/2025,2,10.26%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0268,426868988675,Meat,Beef,41.83,80.04,28.00,26.00,11.00,0.00,42.00,1.00,41.83,Theft,Shoplifting,10/27/2025,9,9.09%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0012,422526291403,Meat,Pork,23.38,36.26,91.00,23.00,30.00,1.00,84.00,1.00,23.38,Spoilage,Past sell-by,10/6/2025,6,3.33%,0,0,0
S002,Fortinos - West,Ontario,SKU0069,487407507057,Meat,Chicken,25.72,53.58,87.00,18.00,39.00,0.00,63.00,3.00,77.16,Vendor Shortage,Invoice mismatch,10/27/2025,9,7.69%,0,0,0
S002,Fortinos - West,Ontario,SKU0070,404033992825,General Merchandise,Seasonal,6.21,15.29,51.00,21.00,15.00,0.00,57.00,0.00,0,None,None,10/13/2025,7,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0073,458878784464,Dairy,Milk,0.58,1.39,33.00,16.00,20.00,0.00,28.00,1.00,0.58,Spoilage,Past sell-by,10/20/2025,8,5.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0274,406314182096,General Merchandise,Kitchenware,31.97,79.14,5.00,19.00,3.00,0.00,21.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0068,490295951195,Bakery,Pastries,10.06,16.37,49.00,15.00,23.00,0.00,34.00,7.00,70.42,Spoilage,Expired,9/15/2025,3,30.43%,0,0,0
S002,Fortinos - West,Ontario,SKU0282,455359923040,Grocery,Beverages,37.29,88.12,87.00,22.00,25.00,-2.00,81.00,1.00,37.29,Vendor Shortage,Invoice mismatch,11/3/2025,10,4.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0104,437363917552,Bakery,Deli Bread,38.46,54.54,30.00,21.00,15.00,0.00,29.00,7.00,269.22,Theft,Customer theft,11/3/2025,10,46.67%,0,0,0
S002,Fortinos - West,Ontario,SKU0289,404092199300,General Merchandise,Batteries,7.57,15.06,46.00,19.00,8.00,0.00,57.00,0.00,0,None,None,11/10/2025,11,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0168,492855948970,Meat,Prepared Meat,12.42,29.64,76.00,19.00,33.00,1.00,60.00,3.00,37.26,Vendor Shortage,Short delivery,11/10/2025,11,9.09%,0,0,0
S003,Real Canadian - North,Ontario,SKU0036,457356271327,Meat,Prepared Meat,20.85,48.43,83.00,17.00,25.00,2.00,74.00,3.00,62.55,Process Error,Scan error,9/1/2025,1,12.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0291,481387341532,Grocery,Beverages,2.1,2.94,70.00,19.00,32.00,-1.00,55.00,1.00,2.1,Process Error,Receiving error,9/8/2025,2,3.13%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0398,414886374138,General Merchandise,Cleaning,40.24,86.08,5.00,24.00,1.00,0.00,28.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0090,410479173015,Bakery,Cakes,35.82,53.9,5.00,23.00,2.00,0.00,24.00,2.00,71.64,Spoilage,Expired,10/20/2025,8,100.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0015,467239597077,Grocery,Snacks,20.08,47.97,44.00,18.00,30.00,0.00,32.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0384,439672200745,Grocery,Cereal,43.87,108.86,37.00,21.00,15.00,0.00,42.00,1.00,43.87,Theft,Shoplifting,10/13/2025,7,6.67%,0,0,0
S002,Fortinos - West,Ontario,SKU0123,401298229437,Grocery,Snacks,35.55,48.51,73.00,21.00,28.00,0.00,66.00,0.00,0,Process Error,Counting error,9/29/2025,5,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0183,415189462425,Produce,Leafy Greens,23.01,47.74,65.00,33.00,14.00,0.00,77.00,7.00,161.07,Spoilage,Temperature breach,9/22/2025,4,50.00%,0,0,0
