sku,upc,department,subcategory,total_sales,total_shrink,shrink_rate
SKU0129,483391832431,Bakery,Bread,589.0,196.0,33.3
SKU0182,476470121639,Bakery,Deli Bread,388.0,187.0,48.2
SKU0307,434698439081,Bakery,Cakes,379.0,182.0,48.0
SKU0334,466930722835,Bakery,Bread,445.0,182.0,40.9
SKU0024,473708291861,Bakery,Pastries,540.0,181.0,33.5
SKU0151,486403859171,Bakery,Bread,490.0,180.0,36.7
SKU0208,456815947284,Bakery,Deli Bread,420.0,177.0,42.1
SKU0082,404399873551,Bakery,Pastries,429.0,170.0,39.6
SKU0390,474803331693,Produce,Citrus,493.0,169.0,34.3
SKU0369,462321587590,Bakery,Deli Bread,465.0,168.0,36.1
